JobId,aj,mj,oj
3580511,5935.0,1086.0,3969.0
3600865,29669.0,15763.0,9915.0
3523314,530130.0,28183.0,466795.0
3511823,52835.0,9362.0,41980.0
3544971,9610.0,3174.0,5297.0
3550739,113648.0,2919.0,110177.0
3531975,0.0,0.0,0.0
3638746,5780.0,2512.0,3061.0
3557861,294013.0,19507.0,254533.0
3556915,1235.0,586.0,20.0
3603935,776.0,3.0,773.0
3654369,201.0,133.0,4.0
3633573,69595.0,369.0,69161.0
3580043,193970.0,2890.0,187631.0
3557081,187.0,85.0,33.0
3583613,80.0,27.0,16.0
3524047,5550.0,86.0,5393.0
3616207,81.0,0.0,71.0
3590379,14282.0,785.0,12796.0
3559789,,,
3531979,0.0,0.0,0.0
3583869,847.0,11.0,836.0
3486909,94062.0,45157.0,43667.0
3578971,3.0,1.0,2.0
3567065,4701.0,30.0,4404.0
3617735,107221.0,3870.0,61968.0
3522587,91692.0,939.0,82356.0
3544269,58.0,4.0,35.0
3600039,50280.0,11211.0,37636.0
3499889,726.0,11.0,659.0
3533465,31975.0,318.0,31381.0
3532835,1275.0,673.0,0.0
3571701,2738.0,122.0,2593.0
3569807,0.0,0.0,0.0
3667873,15259.0,4983.0,4948.0
3577169,24806.0,1888.0,22674.0
3626099,68597.0,2862.0,65307.0
3571705,0.0,0.0,0.0
3667651,6581.0,406.0,3654.0
3531051,362.0,150.0,85.0
3610017,21575.0,3870.0,15183.0
3529771,36457.0,4771.0,30458.0
3695559,61675.0,2970.0,58388.0
3510243,260356.0,15644.0,222326.0
3579037,21433.0,2247.0,10754.0
3536731,8063.0,2304.0,4912.0
3555223,17875.0,1673.0,16038.0
3680593,6380.0,0.0,5435.0
3619539,165581.0,39765.0,86976.0
3542285,3592.0,2772.0,46.0
3626189,7812.0,213.0,7046.0
3687173,700.0,293.0,144.0
3551061,208.0,3.0,200.0
3522865,34444.0,1225.0,31745.0
3557119,63950.0,4687.0,31284.0
3569401,9763.0,356.0,7941.0
3538213,33.0,6.0,11.0
3452087,240660.0,32796.0,169822.0
3571545,42631.0,1396.0,36661.0
3553277,154.0,27.0,0.0
3680361,476.0,22.0,444.0
3544271,16930.0,5219.0,10190.0
3600379,65959.0,3091.0,62767.0
