JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
2267195,1,14,15-11-2014,15,11,2014
2267195,1,13,16-11-2014,16,11,2014
2267195,1,17,17-01-2015,17,01,2015
2267195,2,19,17-02-2015,17,02,2015
2267195,1,22,18-04-2015,18,04,2015
2267195,0,24,28-07-2015,28,07,2015
2267195,0,25,30-07-2015,30,07,2015
2267195,0,24,01-08-2015,01,08,2015
2267195,0,24,04-08-2015,04,08,2015
2267195,0,26,06-08-2015,06,08,2015
2267195,0,26,08-08-2015,08,08,2015
2267195,0,25,11-08-2015,11,08,2015
3594615,7,656,09-07-2015,09,07,2015
3594615,7,563,11-07-2015,11,07,2015
3444449,0,7,11-06-2015,11,06,2015
3435369,268,61,11-06-2015,11,06,2015
3671217,7,1604,23-07-2015,23,07,2015
3671217,7,1307,25-07-2015,25,07,2015
3604551,4,5,11-07-2015,11,07,2015
3598409,4738,1121,09-07-2015,09,07,2015
3598409,4745,0,11-07-2015,11,07,2015
3556115,32,0,04-07-2015,04,07,2015
3588337,54,290,09-07-2015,09,07,2015
3413261,922,110,04-06-2015,04,06,2015
3517547,469,1425,27-06-2015,27,06,2015
3561663,24287,5037,04-07-2015,04,07,2015
3595237,267,70,09-07-2015,09,07,2015
3595237,272,3,11-07-2015,11,07,2015
3548795,11,4739,02-07-2015,02,07,2015
3675759,3,0,25-07-2015,25,07,2015
3710163,2652,1058,30-07-2015,30,07,2015
3710163,2668,10,01-08-2015,01,08,2015
3686473,515,20837,25-07-2015,25,07,2015
3531097,13,466,30-06-2015,30,06,2015
3531097,12,593,02-07-2015,02,07,2015
3531097,12,289,04-07-2015,04,07,2015
3506937,644,213,25-06-2015,25,06,2015
3501555,495,6238,25-06-2015,25,06,2015
3616639,877,4609,18-07-2015,18,07,2015
3501541,374,7534,25-06-2015,25,06,2015
3557399,424,3129,02-07-2015,02,07,2015
3557399,423,536,03-07-2015,03,07,2015
3557399,424,80,04-07-2015,04,07,2015
3538179,1133,27158,30-06-2015,30,06,2015
3538179,1129,12474,02-07-2015,02,07,2015
3538179,0,0,03-07-2015,03,07,2015
3666919,4539,26199,23-07-2015,23,07,2015
3572811,681,202,07-07-2015,07,07,2015
3548435,2475,6010,02-07-2015,02,07,2015
3548435,2498,560,03-07-2015,03,07,2015
3695319,68,138,28-07-2015,28,07,2015
3695319,68,108,30-07-2015,30,07,2015
3543255,135,597,02-07-2015,02,07,2015
3707223,1033,25253,30-07-2015,30,07,2015
3707223,1056,6,01-08-2015,01,08,2015
3697787,127,6,30-07-2015,30,07,2015
3692915,2473,7471,28-07-2015,28,07,2015
3692915,2484,28,30-07-2015,30,07,2015
3637219,728,83,16-07-2015,16,07,2015
3637219,741,5,18-07-2015,18,07,2015
3450967,115,15516,11-06-2015,11,06,2015
3454939,36,11,13-06-2015,13,06,2015
3526787,0,0,03-07-2015,03,07,2015
3585457,438,13493,09-07-2015,09,07,2015
3585457,449,15,11-07-2015,11,07,2015
3549099,1922,4654,02-07-2015,02,07,2015
3549099,1932,277,03-07-2015,03,07,2015
3711327,57,1076,01-08-2015,01,08,2015
3371269,24,16,27-05-2015,27,05,2015
3371269,18,8,28-05-2015,28,05,2015
3378425,2799,22,28-05-2015,28,05,2015
3583431,403,34375,07-07-2015,07,07,2015
3583431,406,13,09-07-2015,09,07,2015
3486925,997,4689,20-06-2015,20,06,2015
3486925,993,4522,25-06-2015,25,06,2015
3486925,1001,3708,27-06-2015,27,06,2015
3486925,1025,4947,25-07-2015,25,07,2015
3615763,8,142,11-07-2015,11,07,2015
3641727,81,171,18-07-2015,18,07,2015
3492275,607,34659,20-06-2015,20,06,2015
3649013,30,2026,18-07-2015,18,07,2015
3606373,1349,332,11-07-2015,11,07,2015
3137999,329,36,16-04-2015,16,04,2015
3137999,329,36,16-04-2015,16,04,2015
3137999,456,72,18-04-2015,18,04,2015
