user_fa,job_fa,score
10001,10001,0.247343252
10001,10003,0.0059334043
10001,10005,0.015851931
10001,10007,0.0239107333
10001,10008,0.003808005
10001,10009,0.019571378
10001,10010,0.032766561
10001,10011,0.002745307
10001,10012,0.0039851223
10001,10013,0.019128587
10001,10014,0.4084307476
10001,10015,0.001062699
10001,10016,0.002833864
10001,10017,0.003719447
10001,10018,0.018243004
10001,10020,0.0149663473
10001,10028,0.0025681893
10001,10030,0.0010626993
10001,10033,0.0432164363
10001,10034,0.00053135
10001,10035,0.000974141
10001,10038,0.006287637
10001,10040,0.000442792
10001,10042,0.003542331
10001,10044,0.003276656
10001,10046,0.000974141
10001,10047,8.85583e-05
10001,10049,0.0003542333
10001,10053,0.0955543753
10001,10055,0.000708466
10001,10056,0.005667729
10001,10057,0.0104498773
10003,10001,0.045479156
10003,10003,0.272333513
10003,10005,0.01082837
10003,10007,0.020032486
10003,10008,0.002707093
10003,10009,0.021115323
10003,10010,0.015159719
10003,10011,0.011369789
10003,10012,0.004331349
10003,10013,0.0292366
10003,10014,0.275040606
10003,10015,0.002165674
10003,10016,0.000541419
10003,10017,0.002165675
10003,10018,0.05089334
10003,10020,0.025446671
10003,10028,0.009204115
10003,10030,0.000541419
10003,10033,0.094748241
10003,10034,0.004331348
10003,10035,0.002707093
10003,10038,0.004872767
10003,10042,0.000541419
10003,10044,0.004331348
10003,10046,0.002165675
10003,10047,0.001082837
10003,10049,0.000541419
10003,10053,0.051434759
10003,10055,0.001624256
10003,10056,0.005955604
10003,10057,0.027070926
10004,10001,0.04477612
10004,10003,0.018242123
10004,10005,0.023217247
10004,10007,0.028192372
10004,10008,0.004975124
10004,10009,0.023217248
10004,10010,0.016583748
10004,10011,0.074626866
10004,10012,0.028192371
10004,10013,0.071310116
10004,10014,0.310116086
10004,10015,0.0066335
10004,10016,0.008291874
10004,10018,0.109452737
10004,10020,0.00331675
10004,10028,0.008291874
10004,10033,0.049751244
10004,10035,0.023217247
10004,10038,0.0066335
10004,10044,0.004975125
10004,10046,0.001658375
10004,10047,0.001658375
10004,10053,0.077943615
10004,10055,0.018242123
10004,10056,0.016583748
10004,10057,0.019900497
10005,10001,0.035255958
10005,10003,0.006346073
10005,10005,0.425891975
10005,10007,0.014384431
10005,10008,0.012833169
10005,10009,0.004512762
10005,10010,0.029332958
10005,10011,0.010012692
10005,10012,0.008179382
10005,10013,0.046678888
10005,10014,0.194471866
10005,10015,0.013115216
10005,10016,0.001410238
10005,10017,0.001269214
10005,10018,0.029756029
10005,10020,0.02355098
10005,10028,0.008884502
10005,10030,0.000282048
10005,10033,0.04893527
10005,10034,0.003948667
10005,10035,0.000141024
10005,10038,0.000564095
10005,10040,0.002256381
10005,10042,0.001128191
10005,10044,0.007756311
10005,10046,0.006487096
10005,10047,0.000423072
10005,10049,0.002256382
10005,10050,0.000282048
10005,10053,0.034832887
10005,10055,0.002115357
10005,10056,0.011987026
10005,10057,0.010717812
10007,10001,0.0286102356
10007,10003,0.0050823705
10007,10005,0.0067034701
10007,10007,0.4714773915
10007,10008,0.001752541
10007,10009,0.003329829
10007,10010,0.0173063446
10007,10011,0.0016211
10007,10012,0.001796355
10007,10013,0.019935156
10007,10014,0.2340080622
10007,10015,0.001577287
10007,10016,0.004863302
10007,10017,0.00210305
10007,10018,0.01638626
10007,10020,0.0220820186
10007,10028,0.002935507
10007,10030,0.0003943215
10007,10033,0.097485103
10007,10034,0.000657203
10007,10035,0.000788644
10007,10038,0.004074658
10007,10040,0.000788644
10007,10042,0.002278304
10007,10044,0.001796354
10007,10046,0.000481949
10007,10047,0.0002190681
10007,10049,0.00148966
10007,10050,4.38135e-05
10007,10053,0.031370487
10007,10055,0.000701017
10007,10056,0.003417456
10007,10057,0.0124430425
10008,10001,0.01939837
10008,10003,0.001967951
10008,10005,0.016868147
10008,10007,0.004498173
10008,10008,0.633680067
10008,10009,0.004779309
10008,10010,0.005060444
10008,10011,0.001124543
10008,10012,0.000562272
10008,10013,0.007028395
10008,10014,0.082372786
10008,10015,0.002811358
10008,10016,0.000281136
10008,10018,0.011526567
10008,10020,0.031768344
10008,10028,0.019679505
10008,10033,0.073938712
10008,10034,0.008152938
10008,10038,0.001967951
10008,10042,0.000843408
10008,10044,0.00730953
10008,10046,0.002530223
10008,10049,0.002530222
10008,10050,0.006184987
10008,10053,0.038796738
10008,10055,0.000281136
10008,10057,0.01405679
10009,10001,0.073227886
10009,10003,0.010544815
10009,10005,0.007322788
10009,10007,0.009080258
10009,10008,0.002929116
10009,10009,0.586701816
10009,10010,0.021968366
10009,10011,0.002050381
10009,10012,0.001171647
10009,10013,0.006444054
10009,10014,0.118043351
10009,10015,0.000292912
10009,10017,0.001464558
10009,10018,0.01903925
10009,10020,0.012888107
10009,10028,0.00380785
10009,10030,0.001757469
10009,10033,0.050380786
10009,10034,0.000292912
10009,10035,0.001171646
10009,10038,0.004686584
10009,10040,0.000292912
10009,10042,0.001757469
10009,10044,0.006444054
10009,10046,0.000585823
10009,10053,0.041886351
10009,10055,0.001171647
10009,10056,0.000292912
10009,10057,0.012302285
10010,10001,0.052326954
10010,10003,0.002716749
10010,10005,0.01523742
10010,10007,0.012993149
10010,10008,0.002126152
10010,10009,0.002362391
10010,10010,0.624025514
10010,10011,0.001535554
10010,10012,0.001889913
10010,10013,0.028112449
10010,10014,0.1172927
10010,10015,0.001535554
10010,10016,0.002244271
10010,10017,0.002716749
10010,10018,0.011103237
10010,10020,0.017363572
10010,10028,0.001299315
10010,10030,0.000826837
10010,10033,0.042168676
10010,10034,0.000354359
10010,10038,0.00248051
10010,10040,0.003189227
10010,10042,0.000944956
10010,10044,0.001063076
10010,10046,0.000708718
10010,10049,0.00011812
10010,10053,0.034372785
10010,10055,0.000590598
10010,10056,0.004252304
10010,10057,0.012048194
10011,10001,0.012017283
10011,10003,0.003645692
10011,10005,0.013097488
10011,10007,0.004860923
10011,10008,0.001080205
10011,10009,0.001080205
10011,10010,0.006076154
10011,10011,0.353227113
10011,10012,0.014852822
10011,10013,0.073048879
10011,10014,0.08547124
10011,10015,0.000270051
10011,10017,0.000810154
10011,10018,0.211585201
10011,10020,0.011477181
10011,10028,0.020928976
10011,10030,0.001485282
10011,10033,0.037537132
10011,10034,0.025249798
10011,10035,0.000135026
10011,10038,0.006886308
10011,10040,0.000270051
10011,10042,0.001620308
10011,10044,0.002835539
10011,10046,0.001755334
10011,10047,0.005536052
10011,10050,0.001350256
10011,10053,0.034431542
10011,10055,0.055090467
10011,10056,0.005671078
10011,10057,0.006616257
10012,10001,0.016236033
10012,10003,0.004539106
