job_minsal,user_ctc,min_salary_score
Rs 1.0 - 1.5 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.011818921
Rs 1.0 - 1.5 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.000840336
Rs 1.0 - 1.5 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.008620222
Rs 1.0 - 1.5 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.006641366
Rs 1.0 - 1.5 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.00352399
Rs 1.0 - 1.5 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.002412578
Rs 1.0 - 1.5 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.001463811
Rs 1.5 - 2.0 Lakh / Yr,"< Rs 50,000 / Yr",0.001282131
Rs 1.5 - 2.0 Lakh / Yr,Rs 0 / Yr,0.257020452
Rs 1.5 - 2.0 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.07967978
Rs 1.5 - 2.0 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.139721058
Rs 1.5 - 2.0 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.002845706
Rs 1.5 - 2.0 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.001657389
Rs 1.5 - 2.0 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.002126462
Rs 1.5 - 2.0 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.000250172
Rs 1.5 - 2.0 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.000687973
Rs 1.5 - 2.0 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.213240353
Rs 1.5 - 2.0 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.080117581
Rs 1.5 - 2.0 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.000531615
Rs 1.5 - 2.0 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.0002189
Rs 1.5 - 2.0 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.000343986
Rs 1.5 - 2.0 Lakh / Yr,Rs 26 - 28 Lakh / Yr,3.13E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.000125086
Rs 1.5 - 2.0 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.107792858
Rs 1.5 - 2.0 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.037713428
Rs 1.5 - 2.0 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.000281443
Rs 1.5 - 2.0 Lakh / Yr,Rs 32 - 34 Lakh / Yr,6.25E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 34 - 36 Lakh / Yr,6.25E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.000125086
Rs 1.5 - 2.0 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.028425793
Rs 1.5 - 2.0 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.00960035
Rs 1.5 - 2.0 Lakh / Yr,Rs 40 - 42 Lakh / Yr,3.13E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 42 - 44 Lakh / Yr,9.38E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 46 - 48 Lakh / Yr,3.13E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 48 - 50 Lakh / Yr,0.000156357
Rs 1.5 - 2.0 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.013947089
Rs 1.5 - 2.0 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.000500344
Rs 1.5 - 2.0 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.005753956
Rs 1.5 - 2.0 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.008099318
Rs 1.5 - 2.0 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.003471136
Rs 1.5 - 2.0 Lakh / Yr,Rs 75 Lakh - 1 Crore / Yr,3.13E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.002376634
Rs 1.5 - 2.0 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.001563575
Rs 10 - 12 Lakh / Yr,"< Rs 50,000 / Yr",0.000846024
Rs 10 - 12 Lakh / Yr,Rs 0 / Yr,0.098138748
Rs 10 - 12 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.02284264
Rs 10 - 12 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.019458545
Rs 10 - 12 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.114213198
Rs 10 - 12 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.090524535
Rs 10 - 12 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.060067682
Rs 10 - 12 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.02284264
Rs 10 - 12 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.020304569
Rs 10 - 12 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.045685279
Rs 10 - 12 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.019458545
Rs 10 - 12 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.017766497
Rs 10 - 12 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.002538071
Rs 10 - 12 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.013536379
Rs 10 - 12 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.001692047
Rs 10 - 12 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.003384095
Rs 10 - 12 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.044839255
