job_minexp,normalised_experience,min_exp_score
15 Yrs,0 Yr,0.007518797
15 Yrs,1 Yr,0.003759398
15 Yrs,10 Yrs,0.007518797
15 Yrs,11 Yrs,0.007518797
15 Yrs,12 Yrs,0.013157895
15 Yrs,13 Yrs,0.015037594
15 Yrs,14 Yrs,0.033834586
15 Yrs,15 Yrs,0.082706767
15 Yrs,16 Yrs,0.07518797
15 Yrs,17 Yrs,0.056390977
15 Yrs,18 Yrs,0.063909774
15 Yrs,19 Yrs,0.04887218
15 Yrs,2 Yrs,0.001879699
15 Yrs,20 Yrs,0.082706767
15 Yrs,21 Yrs,0.04887218
15 Yrs,22 Yrs,0.065789474
15 Yrs,23 Yrs,0.033834586
15 Yrs,24 Yrs,0.045112782
15 Yrs,3 Yrs,0.005639098
15 Yrs,4 Yrs,0.003759398
15 Yrs,5 Yrs,0.005639098
15 Yrs,6 Yrs,0.003759398
15 Yrs,7 Yrs,0.001879699
15 Yrs,8 Yrs,0.007518797
15 Yrs,9 Yrs,0.007518797
15 Yrs,> 25 Yrs,0.270676692
16 Yrs,16 Yrs,0.2
16 Yrs,19 Yrs,0.2
16 Yrs,23 Yrs,0.2
16 Yrs,> 25 Yrs,0.4
18 Yrs,15 Yrs,0.2
18 Yrs,16 Yrs,0.2
18 Yrs,20 Yrs,0.2
18 Yrs,22 Yrs,0.2
18 Yrs,> 25 Yrs,0.2
2 Yrs,0 Yr,0.073243231
2 Yrs,1 Yr,0.083971947
2 Yrs,10 Yrs,0.015651851
2 Yrs,11 Yrs,0.007988482
2 Yrs,12 Yrs,0.007059589
2 Yrs,13 Yrs,0.005062468
2 Yrs,14 Yrs,0.005387581
2 Yrs,15 Yrs,0.00617714
2 Yrs,16 Yrs,0.004644466
2 Yrs,17 Yrs,0.003018903
2 Yrs,18 Yrs,0.003111792
2 Yrs,19 Yrs,0.001486229
2 Yrs,2 Yrs,0.196971808
2 Yrs,20 Yrs,0.00418002
2 Yrs,21 Yrs,0.001207561
2 Yrs,22 Yrs,0.001579118
2 Yrs,23 Yrs,0.001161117
2 Yrs,24 Yrs,0.000882449
2 Yrs,3 Yrs,0.177883052
2 Yrs,4 Yrs,0.127955042
2 Yrs,5 Yrs,0.110352515
2 Yrs,6 Yrs,0.067344759
2 Yrs,7 Yrs,0.041707306
2 Yrs,8 Yrs,0.025591008
2 Yrs,9 Yrs,0.020110538
2 Yrs,> 25 Yrs,0.006270029
20 Yrs,11 Yrs,0.009615385
20 Yrs,15 Yrs,0.019230769
20 Yrs,16 Yrs,0.009615385
20 Yrs,17 Yrs,0.009615385
20 Yrs,18 Yrs,0.009615385
20 Yrs,19 Yrs,0.019230769
20 Yrs,20 Yrs,0.096153846
20 Yrs,21 Yrs,0.028846154
20 Yrs,22 Yrs,0.086538462
20 Yrs,23 Yrs,0.048076923
20 Yrs,24 Yrs,0.038461538
20 Yrs,6 Yrs,0.009615385
20 Yrs,> 25 Yrs,0.615384615
23 Yrs,6 Yrs,1
3 Yrs,0 Yr,0.044636429
3 Yrs,1 Yr,0.050575954
3 Yrs,10 Yrs,0.022678186
3 Yrs,11 Yrs,0.011069114
3 Yrs,12 Yrs,0.011159107
3 Yrs,13 Yrs,0.008099352
