job_maxexp,user_experience,max_exp_score
13 Yrs,21 Yrs,0.003420753
13 Yrs,22 Yrs,0.01368301
13 Yrs,23 Yrs,0.003420753
13 Yrs,24 Yrs,0.003420753
13 Yrs,3 Yrs,0.038768529
13 Yrs,4 Yrs,0.037628278
13 Yrs,5 Yrs,0.037628278
13 Yrs,6 Yrs,0.030786773
13 Yrs,7 Yrs,0.035347777
13 Yrs,8 Yrs,0.084378563
13 Yrs,9 Yrs,0.082098062
13 Yrs,> 25 Yrs,0.015963512
14 Yrs,0 Yr,0.041509434
14 Yrs,1 Yr,0.022641509
14 Yrs,10 Yrs,0.096226415
14 Yrs,11 Yrs,0.075471698
14 Yrs,12 Yrs,0.111320755
14 Yrs,13 Yrs,0.103773585
14 Yrs,14 Yrs,0.067924528
14 Yrs,15 Yrs,0.050943396
14 Yrs,16 Yrs,0.018867925
14 Yrs,17 Yrs,0.018867925
14 Yrs,18 Yrs,0.026415094
14 Yrs,19 Yrs,0.009433962
14 Yrs,2 Yrs,0.024528302
14 Yrs,20 Yrs,0.030188679
14 Yrs,21 Yrs,0.00754717
14 Yrs,22 Yrs,0.022641509
14 Yrs,23 Yrs,0.013207547
14 Yrs,24 Yrs,0.016981132
14 Yrs,3 Yrs,0.037735849
14 Yrs,4 Yrs,0.013207547
14 Yrs,5 Yrs,0.024528302
14 Yrs,6 Yrs,0.009433962
14 Yrs,7 Yrs,0.022641509
14 Yrs,8 Yrs,0.020754717
14 Yrs,9 Yrs,0.062264151
14 Yrs,> 25 Yrs,0.050943396
15 Yrs,0 Yr,0.089190499
15 Yrs,1 Yr,0.050412021
15 Yrs,10 Yrs,0.077556956
15 Yrs,11 Yrs,0.053805138
15 Yrs,12 Yrs,0.067377605
15 Yrs,13 Yrs,0.057198255
15 Yrs,14 Yrs,0.061560834
15 Yrs,15 Yrs,0.072224915
15 Yrs,16 Yrs,0.036839554
15 Yrs,17 Yrs,0.016965584
15 Yrs,18 Yrs,0.015996122
15 Yrs,19 Yrs,0.016480853
15 Yrs,2 Yrs,0.037324285
15 Yrs,20 Yrs,0.021812894
15 Yrs,21 Yrs,0.010664081
15 Yrs,22 Yrs,0.015511391
15 Yrs,23 Yrs,0.01502666
15 Yrs,24 Yrs,0.012603005
15 Yrs,3 Yrs,0.026175473
15 Yrs,4 Yrs,0.026175473
15 Yrs,5 Yrs,0.023751818
15 Yrs,6 Yrs,0.023751818
15 Yrs,7 Yrs,0.030538051
15 Yrs,8 Yrs,0.036354823
15 Yrs,9 Yrs,0.031992244
15 Yrs,> 25 Yrs,0.072709646
16 Yrs,0 Yr,0.091743119
16 Yrs,1 Yr,0.04587156
16 Yrs,10 Yrs,0.04587156
16 Yrs,11 Yrs,0.082568807
16 Yrs,12 Yrs,0.110091743
16 Yrs,13 Yrs,0.091743119
16 Yrs,14 Yrs,0.128440367
16 Yrs,15 Yrs,0.073394495
16 Yrs,16 Yrs,0.100917431
16 Yrs,18 Yrs,0.009174312
16 Yrs,19 Yrs,0.009174312
16 Yrs,2 Yrs,0.027522936
16 Yrs,20 Yrs,0.009174312
16 Yrs,21 Yrs,0.009174312
16 Yrs,22 Yrs,0.009174312
16 Yrs,23 Yrs,0.009174312
16 Yrs,24 Yrs,0.009174312
16 Yrs,3 Yrs,0.018348624
16 Yrs,5 Yrs,0.009174312
16 Yrs,6 Yrs,0.009174312
16 Yrs,8 Yrs,0.027522936
16 Yrs,9 Yrs,0.04587156
16 Yrs,> 25 Yrs,0.027522936
17 Yrs,10 Yrs,0.115384615
17 Yrs,12 Yrs,0.038461538
17 Yrs,13 Yrs,0.269230769
17 Yrs,15 Yrs,0.153846154
17 Yrs,16 Yrs,0.038461538
