JobId,count
3638746,4891
3626099,11362
3529771,8193
3695559,658
3680593,1690
3626189,906
3452087,1489
3680361,1053
3690829,62
3668353,3925
3695903,175
3605689,351
3552877,3282
3689681,3894
3673483,846
3639835,1480
3702329,3209
3696811,83091
3696907,724
2284301,3487
3660165,1315
3584947,190
2030839,6866
3697047,84289
3694767,168
3686445,2280
3532427,6092
3645753,1045
3557911,1009
3550523,5842
3680343,434
3544689,1875
3666925,1485
3579999,409
1930885,16039
3673071,2988
3532267,1231
3624829,2272
3525407,3537
3618585,325
3115361,1862
3639663,3976
3562511,444
3639397,402
3552887,1110
3695279,1142
3452109,3540
3697063,5765
3661495,234
3558129,3318
3550533,1526
2030809,17432
3626081,2015
3661493,393
3689165,2280
3696179,206
3679179,419
3268225,4223
3532387,2927
3690199,6538
3654917,3050
3703359,618
3661087,2907
3687643,2253
3689135,16224
3709717,2991
3532345,2626
3532341,5660
3558745,18172
3661893,3113
3525627,2966
3689227,55
3693125,152
3558797,1003
3633107,1061
3618713,2471
3606091,1299
3631067,2272
3177793,10461
3640025,618
3698157,226
3695433,2545
3577399,2735
3668341,4821
3557901,3975
3710447,12541
3550791,9203
3633551,1106
3558351,801
3701921,3180
3687419,2145
3695701,84
3605905,2039
3710807,8379
3615251,3610
3530219,5159
3532235,2943
3623963,3860
3694251,221
3696601,2365
3544613,1564
3673093,516
3532311,1300
3610941,2555
3660191,16110
3552785,4380
3710845,1870
3668661,295
3579005,709
3679479,1027
3710935,4033
3711011,2434
3558349,1109
3559679,7219
3531157,951
3625137,1168
3617333,1282
3532407,1671
3532363,1847
3532401,3167
3694317,247
3646137,398
3559535,990
3703375,1547
3532359,2196
3694303,163
3552489,1732
3637913,1552
3702479,713
3660031,336
3532245,1058
3550745,186
3694011,852
3694963,303
3688345,1078
3668681,357
3639795,165
3702741,356
2728019,3353
3557909,1233
3691405,268
3532393,1179
3689619,437
3693225,450
3693425,105
3695815,769
3693845,66
3557905,1549
3532241,1102
3500005,315
3615503,968
3618613,229
3697375,295
3709601,231
3661563,355
3626705,1088
3532437,1369
3619429,205
3696057,713
3682003,676
3696189,1541
3668363,3098
3709749,19206
3689503,134
3590603,1558
3705681,726
3531147,1538
3393983,521
3533775,2609
3545313,1148
3703407,2955
3257937,153
3532247,903
3639665,4469
3711085,3548
3617099,1520
3689219,3101
3692007,610
3668101,741
3591993,4198
3694311,176
3701221,748
3544911,32147
3711317,374
3668081,4552
3456521,1153
3600633,1170
3599819,437
3691659,134
3563415,3286
3680719,456
3691995,130
3672923,3636
3691047,280
3691623,110
3688477,88
3388401,1149
3523415,15069
3558205,948
3703977,1446
3689349,80
3552771,8873
3585009,112
3532239,1127
3705593,302
3099303,1688
3693601,124
3701799,4485
3679651,193
3646351,872
3695351,4196
3709421,4804
3689925,674
3702963,3488
3696959,1140
3626355,1033
3702843,3295
3693205,254
3696781,8999
3545737,2066
3689331,144
3688951,1991
3532331,494
3558287,5768
3693407,124
3605231,1140
3697831,255
3698721,245
3015675,725
3599789,1962
3687229,1699
3697795,2708
3707723,229
3694315,258
3558759,13453
3626589,2889
3689491,3813
3673212,495
2671819,3720
3618579,164
3532107,945
3532233,889
3699669,688
3688833,121
3695831,710
3610227,375
3525787,6691
3557903,1073
3706951,112
3710925,855
3521953,328
3655807,4943
3708893,948
3627139,963
3690779,140
3680563,557
3558347,343
3695047,371
3618929,2167
3701699,451
3532353,1956
3531155,886
3086985,1544
3694283,67
3661979,334
3692513,66
3690575,1307
2994799,2090
3652893,1109
3702651,7848
3599825,236
3680059,12901
3624859,650
3701197,771
3701905,371
3538763,1793
3558233,10
2432309,2284
3693395,122
3690267,26
3559007,263
2727997,8382
3688037,64
3594203,81
3690245,264
3638583,1056
3693569,1036
3694309,209
3693661,66
3604227,4624
3578109,20737
3673677,858
3646567,999
3652865,1320
3625793,598
3702909,668
3644695,1156
3461865,7209
3600733,7357
3583499,506
3644433,6237
3699567,2873
2994817,1258
3580379,357
3693349,167
3645503,752
3500087,168
3627917,2222
3692431,178
3703313,2270
3529867,2169
3710977,1802
3703771,2344
3699937,3677
3673197,387
3703063,1113
3689501,59
3693895,85
3692935,482
3185107,357
3695941,105
3702095,1289
3702397,2322
3693643,204
3532343,1812
2284475,929
3689599,249
3701183,560
3699725,234
3689141,46
3532325,648
3637957,381
3706343,304
3689605,354
3689433,702
3697293,159
3564071,229
3672781,3335
3692971,88
3532317,588
3693073,82
3692097,174
3700243,375
3693145,88
3694863,50
3686297,2977
3694845,395
3600747,5101
3600795,6696
3691431,142
3532105,1121
3688715,1240
3586699,1669
3615441,367
3532315,620
3673649,862
3564879,459
3695883,497
3639203,883
3709699,2447
3691409,134
3603207,4931
3694219,239
3689929,207
3697453,406
3701333,114
3688701,281
3661507,854
3694775,53
3690941,186
3529725,6712
3698483,134
3653693,755
3695885,165
3695465,1244
2334585,1342
3703445,1878
3101051,1500
3700993,7629
3530599,2852
3711837,1556
3645489,278
3695229,550
3686549,1253
3693391,26
3682243,13014
3706829,47
3691965,188
3578973,1247
3680429,804
3550535,909
3653351,316
3655877,334
3694975,136
3618335,382
2994765,847
3696331,452
3701511,167
3693433,160
3035815,615
3696537,2241
3680025,2017
3695735,68
3709379,388
3655483,1511
3690179,151
3687709,408
3578413,92
3692225,42
3705651,136
3654329,1696
3703051,315
3694207,104
3691271,118
2534693,1619
3696851,1327
3089281,3422
3711373,437
3551139,2253
3695773,2734
3696281,134
3700811,410
3709173,95
3698353,112
3687639,452
3679615,5277
3703031,1906
3653659,280
3646355,582
3701865,384
3653849,2717
3699593,1925
3086915,2441
1788991,958
3697645,224
3038055,885
3632119,1415
3687655,2278
3521965,448
3695425,423
3705517,110
3611173,170
3689001,1235
3532323,465
3701899,664
3532687,1035
3693819,199
3693155,117
3225121,1236
3681313,34
3577303,3134
3706625,150
3712607,2068
3706025,470
3696341,64
3707261,286
3700585,221
3688279,1338
3086943,1843
3679187,2802
3644561,679
3605967,11502
3709599,344
3696011,763
3696825,1701
3645389,405
3694261,487
3702717,1366
3703925,1116
3703651,424
3530593,1861
3703659,127
3697735,680
3691091,420
3626125,4015
3693623,88
3697835,183
3695373,359
3532321,431
3703825,3325
3513219,998
3687579,2445
3268317,612
3688967,149
3698415,688
3689457,3381
3644417,4171
3550755,4013
3617443,1969
3691545,86
3660989,1532
3694841,56
3604529,428
3700133,176
3689611,63
3703979,1182
3690929,2122
3461867,4632
3699435,247
3703433,1352
3701255,243
3699643,2227
3686735,644
3687669,490
3584965,371
3701235,252
3691513,128
3692279,39
3698417,568
3688845,697
3691869,54
3710451,176
3639211,1635
3702979,4117
3699583,2693
3699097,669
3709143,293
3101055,1493
3577241,3389
3688669,315
3695027,222
3692139,243
3703399,184
3705967,232
3688555,390
3689455,940
3703643,168
3693743,156
3645867,482
3532349,2130
3674489,2124
3697545,335
3618563,492
3703723,54
3699629,2829
3659675,557
3532319,547
3693133,190
3708745,41
3571481,403
3699159,1042
3687677,1243
3617973,63
3657149,1705
3696039,1619
3668253,3546
3680729,2470
3694631,230
3704091,678
3691567,106
3703340,2863
3689127,33
3703589,250
2019275,2700
3605943,21708
3571757,474
3708491,1111
3695555,549
3686487,603
3693337,41
3695877,2615
3712443,8331
3645951,1479
3685765,5194
3682087,3551
3564375,3183
3698675,116
3605257,110
3633469,3571
3654993,987
3706729,587
3695531,160
3563405,540
2788585,5803
3712830,11241
3699745,5161
3690713,61
3697947,128
3691487,334
3709293,285
3690531,107
3708571,380
3692857,251
3689413,2138
3703947,109
3522645,450
3697677,182
3701433,104
3702719,153
3688451,97
3694249,29
3699381,3369
3703891,421
3466701,883
3696277,330
3585989,852
3667085,1209
3709595,209
3470023,551
3660017,572
3668567,1509
3693101,505
3696361,2699
3708429,185
3492351,154
3709297,241
3251191,361
3694899,44
3693451,76
3710203,336
3706033,190
3653355,1652
3525217,172
3558741,151
3600153,2770
3538371,348
3626343,3215
3618767,428
3690485,902
3553075,371
3672203,1217
3695561,207
3702395,583
3524915,387
3693429,168
3690641,42
3706423,26
3708827,147
3604669,18526
3070203,272
3697563,111
3674304,2249
3700265,102
3698891,121
3690455,1042
3695079,197
3638949,1633
3705835,71
3692293,122
3700089,583
3647537,6404
3529727,1599
3655477,3693
3638311,162
3686962,239
3695077,599
3711203,11383
3697777,110
3699769,611
3689347,14
3693659,343
3691367,336
3686719,150
3682219,858
3693427,37
3687913,931
3693091,64
3498749,3862
3697801,227
3703965,73
3696809,620
3682171,89
3681953,484
3577217,4057
3698091,1022
3700123,649
3705507,110
3699225,763
2566805,8835
3699757,800
3691507,180
3690887,135
3703281,518
3702663,554
3710213,219
3696085,288
3689363,63
3686235,546
3692559,217
3569981,260
3692187,774
3691407,139
3647117,1535
3708853,13814
3687771,645
3705179,83
3605043,437
3661857,2092
3698195,1901
3361477,6488
3184625,507
3545181,701
3696543,4896
3698955,212
3668127,309
3701989,400
3702667,3831
3700287,501
3689277,183
